id;id_doi;discipline;count
246;33;Business, Management and Accounting;98
247;33;Linguistics;1
248;33;Psychology;2
249;33;Sports and Recreations;1
250;33;Decision Sciences;1
251;33;Unspecified;17
252;33;Engineering;3
253;33;Medicine and Dentistry;1
254;33;Computer Science;8
255;33;Social Sciences;13
256;33;Economics, Econometrics and Finance;1
257;34;Business, Management and Accounting;121
258;34;Economics, Econometrics and Finance;15
259;34;Unspecified;18
260;34;Engineering;1
261;34;Medicine and Dentistry;1
262;34;Computer Science;1
263;34;Social Sciences;37
264;34;Psychology;1
265;35;Business, Management and Accounting;209
266;35;Physics and Astronomy;1
267;35;Psychology;16
268;35;Sports and Recreations;2
269;35;Decision Sciences;1
270;35;Philosophy;2
271;35;Computer Science;4
272;35;Unspecified;35
273;35;Engineering;4
274;35;Medicine and Dentistry;1
275;35;Biochemistry, Genetics and Molecular Biology;1
276;35;Arts and Humanities;4
277;35;Agricultural and Biological Sciences;1
278;35;Social Sciences;52
279;35;Economics, Econometrics and Finance;16
280;36;Business, Management and Accounting;58
281;36;Economics, Econometrics and Finance;4
282;36;Unspecified;9
283;36;Nursing and Health Professions;1
284;36;Engineering;1
285;36;Computer Science;1
286;36;Arts and Humanities;2
287;36;Social Sciences;13
288;36;Psychology;16
289;37;Business, Management and Accounting;42
290;37;Economics, Econometrics and Finance;4
291;37;Unspecified;8
292;37;Engineering;2
293;37;Chemical Engineering;1
294;37;Social Sciences;5
295;37;Psychology;3
296;38;Business, Management and Accounting;66
297;38;Linguistics;1
298;38;Psychology;2
299;38;Unspecified;10
300;38;Engineering;4
301;38;Chemical Engineering;1
302;38;Social Sciences;6
303;39;Business, Management and Accounting;12
304;39;Psychology;1
305;39;Unspecified;2
306;39;Engineering;1
307;39;Nursing and Health Professions;1
308;39;Social Sciences;2
309;39;Arts and Humanities;1
310;40;Business, Management and Accounting;322
311;40;Linguistics;1
312;40;Physics and Astronomy;2
313;40;Psychology;188
314;40;Sports and Recreations;3
315;40;Energy;1
316;40;Philosophy;1
317;40;Computer Science;8
318;40;Unspecified;62
319;40;Biochemistry, Genetics and Molecular Biology;1
320;40;Engineering;1
321;40;Medicine and Dentistry;10
322;40;Design;1
323;40;Arts and Humanities;6
324;40;Mathematics;1
325;40;Agricultural and Biological Sciences;5
326;40;Nursing and Health Professions;11
